f_streams_id,dim_customer_id,dim_song_id,dim_date_id,dim_device_id,seconds_played,is_complete,play_mode
151,17,72,20200217,4,53,0,Playlist
152,17,51,20200920,3,271,1,Shuffle
153,17,12,20211007,2,39,0,Search
154,18,90,20191229,5,43,0,Playlist
155,18,27,20190925,3,186,1,Album
156,18,57,20191005,5,142,0,Search
157,18,15,20191005,3,205,1,Shuffle
158,18,20,20191222,5,56,0,Search
159,18,59,20200125,4,172,0,Search
160,18,79,20201016,5,258,1,Playlist
161,18,59,20200106,3,47,0,Album
162,18,11,20210106,5,193,1,Playlist
163,19,34,20190525,4,276,1,Playlist
164,19,54,20190602,3,266,1,Search
165,19,7,20191014,4,97,0,Playlist
166,19,99,20190902,5,153,0,Shuffle
167,19,31,20190915,4,56,0,Playlist
168,19,14,20200202,1,236,1,Album
169,19,74,20200127,5,292,1,Playlist
170,19,80,20201029,5,189,1,Playlist
171,19,53,20210221,3,95,0,Search
172,20,43,20191224,3,48,0,Playlist
173,20,48,20191222,3,67,0,Search
174,20,37,20191128,5,246,1,Playlist
175,20,68,20191008,1,111,0,Search
176,20,75,20191029,5,129,0,Playlist
177,20,73,20200726,3,30,0,Shuffle
178,20,22,20200702,4,215,1,Album
179,20,49,20200925,4,61,0,Shuffle
180,20,28,20210814,1,73,0,Album
181,21,20,20191230,3,41,0,Album
182,21,54,20191227,4,195,1,Album
183,21,45,20191229,3,161,0,Album
184,21,67,20191223,2,237,1,Playlist
185,21,63,20191225,4,281,1,Search
186,21,14,20200328,2,32,0,Playlist
187,21,39,20201022,3,289,1,Search
188,21,54,20201027,3,238,1,Playlist
189,21,14,20210825,1,291,1,Shuffle
190,22,98,20190524,3,255,1,Shuffle
191,22,12,20191019,2,270,1,Search
192,22,47,20191224,3,69,0,Playlist
193,22,45,20190404,5,67,0,Search
194,22,20,20191113,2,112,0,Album
195,22,100,20200915,3,203,1,Shuffle
196,22,32,20200324,3,86,0,Album
197,22,77,20201028,3,151,0,Album
198,22,83,20210818,4,45,0,Playlist
199,23,45,20190630,3,189,1,Playlist
200,23,96,20191208,2,293,1,Playlist
201,23,17,20191104,3,159,0,Playlist
202,23,61,20190915,1,157,0,Album
203,23,32,20190222,5,143,0,Shuffle
204,23,48,20201119,4,69,0,Search
205,23,81,20201230,1,117,0,Playlist
206,23,7,20201216,3,77,0,Shuffle
207,23,7,20210912,2,219,1,Search
208,24,92,20191219,1,47,0,Album
209,24,38,20191228,4,164,0,Playlist
210,24,43,20191225,4,84,0,Shuffle
211,24,82,20191210,3,278,1,Search
212,24,15,20191226,1,126,0,Playlist
213,24,28,20201111,5,227,1,Shuffle
214,24,9,20200801,5,178,0,Search
215,24,25,20200616,4,204,1,Album
216,24,71,20210615,5,100,0,Album
217,25,77,20191204,4,164,0,Playlist
218,25,95,20190418,4,64,0,Search
219,25,35,20190911,3,148,0,Album
220,25,32,20190525,1,86,0,Playlist
221,25,92,20190712,3,152,0,Search
222,25,57,20200404,2,98,0,Search
223,25,36,20200325,3,224,1,Album
224,25,100,20200219,4,206,1,Search
225,25,30,20210102,3,108,0,Shuffle
226,26,23,20190613,1,61,0,Album
227,26,34,20190710,3,173,0,Search
228,26,10,20190429,1,183,1,Playlist
229,26,12,20190801,4,215,1,Playlist
230,26,36,20190814,1,237,1,Shuffle
231,26,66,20201114,4,204,1,Shuffle
232,26,28,20200328,2,68,0,Playlist
233,26,93,20201119,3,151,0,Search
234,26,49,20210331,4,276,1,Playlist
235,27,57,20191023,4,275,1,Search
236,27,37,20191002,4,154,0,Search
237,27,84,20190819,5,101,0,Shuffle
238,27,99,20190812,5,166,0,Playlist
239,27,64,20191016,1,254,1,Search
240,27,22,20200824,4,36,0,Playlist
241,27,31,20200204,2,124,0,Playlist
242,27,3,20200112,5,133,0,Album
243,27,12,20210603,4,41,0,Album
244,28,93,20191002,3,94,0,Shuffle
245,28,25,20190909,3,32,0,Playlist
246,28,85,20190929,4,115,0,Playlist
247,28,91,20190904,4,244,1,Shuffle
248,28,27,20190912,2,159,0,Shuffle
249,28,64,20200412,5,210,1,Playlist
250,28,97,20200706,1,153,0,Search
251,28,6,20201028,1,42,0,Album
252,28,24,20210812,2,275,1,Album
253,29,66,20190716,4,235,1,Shuffle
254,29,87,20190826,5,112,0,Album
255,29,65,20190815,4,276,1,Album
256,29,36,20190630,5,47,0,Playlist
257,29,38,20190827,3,246,1,Playlist
258,29,58,20201021,3,208,1,Playlist
259,29,94,20200520,5,51,0,Shuffle
260,29,70,20200914,3,201,1,Search
261,29,75,20210324,4,50,0,Playlist
262,30,25,20191121,5,194,1,Album
263,30,19,20191129,1,154,0,Search
264,30,43,20191203,5,251,1,Search
265,30,28,20191114,2,127,0,Search
266,30,77,20191211,2,157,0,Search
267,30,18,20201105,1,232,1,Shuffle
268,30,26,20200723,3,282,1,Shuffle
269,30,89,20200221,2,66,0,Playlist
270,30,96,20210106,2,276,1,Album
271,31,28,20191101,5,207,1,Search
272,31,78,20190917,3,80,0,Album
273,31,7,20191112,3,260,1,Shuffle
274,31,49,20190812,2,239,1,Playlist
275,31,49,20191217,3,289,1,Playlist
276,31,12,20200928,5,143,0,Album
277,31,26,20200201,1,298,1,Playlist
278,31,51,20200102,4,147,0,Shuffle
279,31,87,20211230,5,254,1,Playlist
280,32,68,20190926,1,290,1,Playlist
281,32,24,20190722,5,274,1,Playlist
282,32,89,20191108,4,260,1,Album
283,32,74,20190316,5,83,0,Album
284,32,44,20191224,1,249,1,Playlist
285,32,32,20200630,4,81,0,Playlist
286,32,26,20200728,4,247,1,Shuffle
287,32,89,20200214,5,263,1,Shuffle
288,32,31,20210722,1,210,1,Playlist
289,33,3,20191221,2,143,0,Playlist
290,33,51,20190828,2,90,0,Playlist
291,33,43,20191018,2,103,0,Shuffle
292,33,97,20190917,3,54,0,Album
293,33,32,20191216,3,155,0,Shuffle
294,33,78,20200810,2,101,0,Playlist
295,33,8,20200821,5,94,0,Search
296,33,6,20201208,1,140,0,Shuffle
297,33,87,20211104,2,30,0,Playlist
298,34,69,20191011,4,257,1,Playlist
299,34,29,20190826,2,54,0,Playlist
300,34,27,20190929,5,54,0,Shuffle
301,34,94,20191022,4,76,0,Search
302,34,9,20191010,3,58,0,Shuffle
303,34,45,20200922,4,242,1,Playlist
304,34,47,20200819,3,159,0,Playlist
305,34,77,20200913,4,249,1,Album
306,34,76,20211229,4,181,1,Search
307,35,82,20191210,3,59,0,Album
308,35,87,20191212,1,111,0,Playlist
309,35,21,20191022,2,88,0,Album
310,35,23,20191117,1,233,1,Album
311,35,51,20191026,5,279,1,Shuffle
312,35,52,20200725,5,150,0,Album
313,35,63,20201027,2,128,0,Search
314,35,62,20200704,4,75,0,Search
315,35,65,20210326,4,264,1,Playlist
316,36,28,20191230,5,114,0,Shuffle
317,36,43,20191228,3,250,1,Album
318,36,86,20191231,1,134,0,Playlist
319,36,42,20191227,5,109,0,Shuffle
320,36,96,20191230,3,247,1,Search
321,36,57,20200217,2,153,0,Album
322,36,73,20200420,1,99,0,Shuffle
323,36,20,20200901,3,149,0,Shuffle
324,36,34,20210429,2,253,1,Shuffle
325,37,20,20191204,2,149,0,Shuffle
326,37,67,20191022,3,236,1,Playlist
327,37,19,20191101,2,169,0,Shuffle
328,37,90,20191210,2,126,0,Search
329,37,30,20191121,2,30,0,Playlist
330,37,50,20200409,2,159,0,Playlist
331,37,92,20201119,2,286,1,Playlist
332,37,65,20201008,3,174,0,Playlist
333,37,99,20210811,2,212,1,Album
334,38,62,20191216,4,98,0,Album
335,38,61,20191229,3,276,1,Playlist
336,38,34,20191126,2,44,0,Shuffle
337,38,8,20191130,3,172,0,Search
338,38,15,20191215,2,82,0,Album
339,38,8,20200804,5,90,0,Album
340,38,99,20201101,3,217,1,Album
341,38,73,20200328,4,297,1,Playlist
342,38,24,20210401,2,137,0,Album
343,39,3,20190531,1,48,0,Playlist
344,39,71,20190824,5,125,0,Album
345,39,16,20190507,5,59,0,Shuffle
346,39,73,20190706,3,209,1,Shuffle
347,39,22,20190913,2,158,0,Search
348,39,32,20200919,2,205,1,Playlist
349,39,43,20201013,5,271,1,Search
350,39,100,20200410,4,108,0,Album
351,39,71,20211103,4,196,1,Playlist
352,40,67,20191126,2,150,0,Search
353,40,71,20191214,4,133,0,Album
354,40,4,20191210,1,177,0,Album
355,40,48,20191225,4,156,0,Search
356,40,92,20191231,4,41,0,Shuffle
357,40,17,20200914,5,264,1,Search
358,40,6,20201018,1,85,0,Playlist
359,40,84,20201031,1,80,0,Shuffle
360,40,95,20210124,2,69,0,Search
361,41,38,20191022,2,131,0,Shuffle
362,41,20,20191230,4,285,1,Album
363,41,43,20191219,2,47,0,Album
364,41,96,20190915,3,54,0,Playlist
365,41,80,20191214,1,204,1,Playlist
366,41,2,20201108,4,77,0,Shuffle
367,41,80,20200512,5,193,1,Playlist
368,41,83,20201106,1,131,0,Album
369,41,17,20210118,5,103,0,Album
370,42,17,20190506,4,39,0,Album
371,42,34,20190919,4,205,1,Shuffle
372,42,64,20190914,2,206,1,Album
373,42,3,20191121,3,81,0,Shuffle
374,42,44,20191120,4,182,1,Search
375,42,51,20200825,2,169,0,Playlist
376,42,90,20200727,5,205,1,Search
377,42,42,20200923,3,49,0,Playlist
378,42,71,20211010,3,246,1,Search
379,43,93,20191230,2,161,0,Album
380,43,100,20191214,1,241,1,Album
381,43,73,20191119,2,160,0,Search
382,43,31,20191116,4,219,1,Playlist
383,43,49,20191110,5,109,0,Album
384,43,55,20200607,4,31,0,Album
385,43,57,20201113,4,227,1,Shuffle
386,43,15,20200723,1,129,0,Shuffle
387,43,39,20210507,1,131,0,Album
388,44,76,20190918,3,217,1,Playlist
389,44,24,20190207,5,116,0,Album
390,44,87,20191028,3,257,1,Search
391,44,64,20191107,1,294,1,Playlist
392,44,100,20190623,1,66,0,Playlist
393,44,35,20200823,3,197,1,Search
394,44,39,20200919,2,192,1,Search
395,44,69,20200405,5,84,0,Playlist
396,44,30,20211126,4,97,0,Search
397,45,6,20190913,3,48,0,Playlist
398,45,88,20191113,4,58,0,Shuffle
399,45,58,20190806,4,213,1,Playlist
400,45,56,20191102,1,40,0,Shuffle
401,45,8,20191117,2,161,0,Search
402,45,70,20201125,5,220,1,Shuffle
403,45,60,20200514,4,274,1,Shuffle
404,45,9,20201226,1,211,1,Shuffle
405,45,84,20211108,2,44,0,Playlist
406,46,27,20191208,4,150,0,Shuffle
407,46,51,20191209,2,153,0,Album
408,46,2,20191126,5,263,1,Shuffle
409,46,91,20191227,4,83,0,Search
410,46,37,20191130,1,71,0,Album
411,46,43,20201206,2,88,0,Shuffle
412,46,59,20200522,4,209,1,Shuffle
413,46,24,20200526,5,133,0,Playlist
414,46,23,20210215,4,47,0,Album
415,47,8,20190219,3,283,1,Album
416,47,67,20190130,2,287,1,Shuffle
417,47,69,20191207,5,156,0,Album
418,47,93,20191118,2,252,1,Search
419,47,53,20191024,4,56,0,Shuffle
420,47,67,20201101,3,111,0,Shuffle
421,47,35,20200314,5,238,1,Album
422,47,70,20200911,1,211,1,Shuffle
423,47,82,20211021,2,227,1,Search
424,48,77,20190425,5,85,0,Search
425,48,96,20190427,1,195,1,Shuffle
426,48,79,20190829,1,32,0,Search
427,48,21,20190917,5,279,1,Shuffle
428,48,28,20190611,5,183,1,Shuffle
429,48,52,20201201,2,150,0,Album
430,48,40,20200618,5,228,1,Search
431,48,69,20200805,2,271,1,Shuffle
432,48,74,20210611,4,242,1,Search
433,49,89,20190908,5,270,1,Album
434,49,51,20191108,1,53,0,Search
435,49,96,20191128,1,200,1,Album
436,49,55,20191108,5,184,1,Album
437,49,78,20191127,1,103,0,Album
438,49,55,20200616,1,251,1,Playlist
439,49,91,20200905,4,205,1,Album
440,49,45,20201111,3,192,1,Playlist
441,49,9,20210814,4,175,0,Playlist
442,50,45,20191207,5,239,1,Album
443,50,23,20191115,2,226,1,Shuffle
444,50,60,20191214,5,89,0,Playlist
445,50,25,20191124,3,233,1,Album
446,50,16,20191231,3,285,1,Shuffle
447,50,85,20200701,4,132,0,Playlist
448,50,27,20200502,4,293,1,Search
449,50,45,20201019,1,49,0,Shuffle
450,50,89,20210906,1,87,0,Playlist
451,51,9,20191113,2,184,1,Search
452,51,68,20191221,3,243,1,Search
453,51,92,20191128,1,246,1,Playlist
454,51,84,20191227,3,96,0,Shuffle
455,51,53,20191111,1,96,0,Search
456,51,90,20200526,5,134,0,Shuffle
457,51,34,20200603,3,37,0,Album
458,51,95,20200131,5,241,1,Shuffle
459,51,63,20210504,5,249,1,Playlist
460,52,34,20190208,4,228,1,Shuffle
461,52,77,20190422,1,212,1,Shuffle
462,52,87,20190625,4,62,0,Album
463,52,34,20190508,2,267,1,Album
464,52,42,20191012,1,217,1,Search
465,52,68,20200824,3,252,1,Playlist
466,52,6,20200427,1,32,0,Playlist
467,52,97,20200307,1,251,1,Album
468,52,69,20210815,4,33,0,Shuffle
469,53,73,20191218,2,124,0,Shuffle
470,53,74,20191116,5,58,0,Search
471,53,47,20190925,5,232,1,Album
472,53,71,20190904,5,172,0,Playlist
473,53,49,20191223,5,265,1,Search
474,53,72,20200527,1,73,0,Shuffle
475,53,61,20201103,5,181,1,Album
476,53,31,20200202,4,109,0,Shuffle
477,53,97,20210704,1,103,0,Shuffle
478,54,56,20191019,4,186,1,Album
479,54,54,20190913,1,52,0,Shuffle
480,54,22,20190906,3,260,1,Shuffle
481,54,39,20191213,5,272,1,Playlist
482,54,8,20191212,4,142,0,Album
483,54,27,20200819,4,48,0,Search
484,54,41,20200612,4,174,0,Shuffle
485,54,19,20201216,5,206,1,Album
486,54,70,20210812,2,201,1,Shuffle
487,55,32,20191214,3,173,0,Search
488,55,4,20190927,3,176,0,Playlist
489,55,92,20191226,5,273,1,Playlist
490,55,56,20191214,3,111,0,Playlist
491,55,31,20190911,5,33,0,Shuffle
492,55,56,20200718,1,81,0,Playlist
493,55,96,20200425,3,194,1,Search
494,55,53,20200414,2,114,0,Album
495,55,97,20210104,1,221,1,Search
496,56,99,20190429,1,269,1,Album
497,56,15,20191213,4,210,1,Album
498,56,48,20191103,3,37,0,Search
499,56,19,20190216,4,31,0,Playlist
500,56,87,20190315,4,35,0,Album
501,56,94,20200513,2,97,0,Search
502,56,43,20200808,3,32,0,Album
503,56,37,20201107,5,140,0,Shuffle
504,56,100,20210220,3,102,0,Shuffle
505,57,32,20190713,1,237,1,Playlist
506,57,38,20190901,4,136,0,Search
507,57,27,20190328,5,195,1,Playlist
508,57,6,20191130,1,275,1,Album
509,57,30,20190523,3,80,0,Album
510,57,56,20200709,3,177,0,Shuffle
511,57,81,20200417,3,208,1,Shuffle
512,57,29,20200924,3,245,1,Album
513,57,3,20210623,1,60,0,Shuffle
514,58,29,20190806,4,295,1,Playlist
515,58,38,20191011,4,120,0,Search
516,58,42,20190926,2,165,0,Shuffle
517,58,54,20190514,3,274,1,Playlist
518,58,10,20190923,3,107,0,Playlist
519,58,7,20201009,3,161,0,Playlist
520,58,99,20201029,1,281,1,Shuffle
521,58,100,20200603,1,232,1,Search
522,58,92,20210215,5,233,1,Search
523,59,8,20191114,2,223,1,Search
524,59,40,20191027,1,242,1,Search
525,59,44,20191202,3,134,0,Shuffle
526,59,60,20190711,5,165,0,Search
527,59,4,20190718,1,238,1,Search
528,59,46,20201125,3,72,0,Playlist
529,59,52,20200718,5,156,0,Album
530,59,97,20200524,3,196,1,Shuffle
531,59,81,20211127,3,48,0,Album
532,60,77,20191231,2,287,1,Album
533,60,1,20191230,4,185,1,Playlist
534,60,45,20191230,3,205,1,Search
535,60,68,20191230,1,179,0,Search
536,60,3,20191231,2,216,1,Shuffle
537,60,93,20200530,1,197,1,Album
538,60,43,20200316,2,160,0,Shuffle
539,60,7,20200308,4,39,0,Album
540,60,38,20210214,2,172,0,Search
541,61,88,20191228,3,286,1,Playlist
542,61,86,20190915,4,280,1,Shuffle
543,61,95,20191026,5,40,0,Album
544,61,49,20191005,1,136,0,Shuffle
545,61,90,20190811,3,136,0,Playlist
546,61,96,20200104,3,186,1,Album
547,61,93,20200919,2,95,0,Search
548,61,82,20200718,4,270,1,Search
549,61,15,20210427,4,126,0,Album
550,62,67,20191126,5,235,1,Search
551,62,26,20191206,2,287,1,Album
552,62,58,20191207,5,287,1,Search
553,62,34,20191212,3,128,0,Search
554,62,51,20191201,5,120,0,Album
555,62,17,20200417,1,299,1,Playlist
556,62,76,20200401,1,256,1,Shuffle
557,62,23,20200905,2,189,1,Album
558,62,95,20210427,5,161,0,Search
559,63,93,20190501,2,77,0,Search
560,63,9,20191222,4,284,1,Search
561,63,32,20190614,5,122,0,Playlist
562,63,47,20190403,2,58,0,Album
563,63,73,20191103,1,223,1,Shuffle
564,63,13,20200825,3,116,0,Shuffle
565,63,19,20201017,2,170,0,Shuffle
566,63,22,20200806,4,169,0,Shuffle
567,63,37,20210812,2,282,1,Search
568,64,27,20190929,4,162,0,Album
569,64,36,20190606,1,120,0,Shuffle
570,64,59,20190528,3,30,0,Shuffle
571,64,29,20190828,3,152,0,Search
572,64,17,20190709,5,48,0,Playlist
573,64,80,20200806,2,115,0,Album
574,64,61,20200522,2,92,0,Search
575,64,52,20200205,2,168,0,Search
576,64,82,20210105,4,150,0,Playlist
577,65,98,20190901,1,81,0,Shuffle
578,65,25,20191217,2,68,0,Album
579,65,77,20190728,4,73,0,Playlist
580,65,78,20191015,1,48,0,Playlist
581,65,21,20191110,5,51,0,Search
582,65,56,20200628,5,73,0,Search
583,65,87,20200813,2,128,0,Playlist
584,65,18,20201212,2,189,1,Shuffle
585,65,4,20211106,4,83,0,Shuffle
586,66,67,20191223,1,92,0,Shuffle
587,66,43,20191004,5,137,0,Shuffle
588,66,43,20191229,5,39,0,Shuffle
589,66,17,20191225,3,259,1,Shuffle
590,66,13,20191027,5,98,0,Shuffle
591,66,27,20200629,2,108,0,Search
592,66,66,20201202,1,90,0,Search
593,66,95,20201007,5,125,0,Playlist
594,66,31,20210328,3,31,0,Album
595,67,97,20191227,2,202,1,Album
596,67,23,20190916,3,289,1,Search
597,67,80,20191005,4,244,1,Search
598,67,67,20191205,4,192,1,Playlist
599,67,38,20190818,5,69,0,Search
600,67,10,20200403,2,292,1,Album
601,67,82,20200211,5,112,0,Search
602,67,74,20200203,1,266,1,Album
603,67,80,20211011,4,95,0,Album
604,68,23,20191110,3,255,1,Album
605,68,46,20191207,1,69,0,Search
606,68,74,20190927,3,58,0,Shuffle
607,68,82,20191002,5,116,0,Search
608,68,13,20190613,2,215,1,Album
609,68,93,20200730,4,194,1,Album
610,68,17,20201028,4,211,1,Search
611,68,38,20200628,1,53,0,Shuffle
612,68,43,20210825,1,255,1,Search
613,69,73,20191218,2,258,1,Album
614,69,59,20191227,3,193,1,Playlist
615,69,35,20191224,2,247,1,Shuffle
616,69,80,20191227,4,50,0,Search
617,69,4,20191228,3,82,0,Playlist
618,69,51,20200913,4,149,0,Shuffle
619,69,61,20200312,3,265,1,Playlist
620,69,92,20200222,4,294,1,Search
621,69,53,20211023,3,189,1,Shuffle
622,70,82,20191124,1,287,1,Album
623,70,53,20190620,4,243,1,Search
624,70,3,20190314,1,162,0,Album
625,70,70,20190504,3,261,1,Playlist
626,70,96,20191120,4,199,1,Album
627,70,11,20201209,5,116,0,Search
628,70,4,20200209,5,157,0,Shuffle
629,70,54,20200501,2,118,0,Search
630,70,65,20210626,4,209,1,Playlist
631,71,75,20191111,1,244,1,Album
632,71,45,20191114,4,176,0,Album
633,71,70,20191217,3,32,0,Search
634,71,7,20191027,5,160,0,Shuffle
635,71,77,20191127,5,103,0,Album
636,71,84,20201021,1,271,1,Search
637,71,3,20200105,5,279,1,Search
638,71,75,20200601,1,181,1,Album
639,71,1,20210414,4,221,1,Search
640,72,37,20191127,5,180,1,Shuffle
641,72,11,20191222,2,96,0,Playlist
642,72,78,20191128,2,210,1,Playlist
643,72,97,20191205,4,181,1,Album
644,72,73,20191210,1,255,1,Playlist
645,72,74,20200122,3,208,1,Shuffle
646,72,77,20200525,4,224,1,Album
647,72,87,20200328,3,210,1,Search
648,72,5,20210108,2,145,0,Shuffle
649,73,82,20191026,3,136,0,Shuffle
650,73,44,20191108,5,100,0,Album
651,73,14,20190819,5,112,0,Playlist
652,73,1,20190812,3,112,0,Playlist
653,73,15,20190918,5,236,1,Shuffle
654,73,12,20200801,1,201,1,Search
655,73,77,20201129,5,188,1,Search
656,73,31,20200925,4,44,0,Search
657,73,54,20210924,5,77,0,Album
658,74,40,20191229,5,261,1,Playlist
659,74,67,20191226,4,274,1,Album
660,74,38,20191228,4,125,0,Album
661,74,44,20191230,3,154,0,Search
662,74,84,20191228,4,220,1,Search
663,74,60,20200228,5,34,0,Shuffle
664,74,77,20200107,2,260,1,Shuffle
665,74,23,20200422,3,265,1,Album
666,74,6,20210221,4,177,0,Playlist
667,75,99,20191019,2,65,0,Search
668,75,1,20191125,5,194,1,Album
669,75,56,20190109,5,192,1,Playlist
670,75,70,20190419,5,171,0,Album
671,75,13,20190210,3,50,0,Shuffle
672,75,1,20201008,2,252,1,Search
673,75,45,20201008,3,91,0,Album
674,75,1,20200328,4,210,1,Playlist
675,75,32,20210503,4,209,1,Album
676,76,42,20191225,4,115,0,Album
677,76,3,20191228,5,155,0,Search
678,76,55,20191228,5,129,0,Album
679,76,12,20191229,1,195,1,Search
680,76,20,20191222,2,185,1,Album
681,76,62,20201119,4,246,1,Shuffle
682,76,85,20200619,4,248,1,Search
683,76,11,20200831,4,172,0,Search
684,76,13,20211203,1,125,0,Album
685,77,80,20191224,1,208,1,Album
686,77,33,20191226,3,289,1,Shuffle
